split,variant,mechanism,n_cases,n_total_cases,n_scored_cases,positives,negatives,average_precision,binary_log_loss,brier_score,evidence_role
test,manufacturing,underfill_void,137,137,137,24,113,0.17714312572365207,0.4851236367517711,0.15492764711256699,retrospective
test,manufacturing,delamination,137,137,137,14,123,0.13173236545851086,0.34419562522893143,0.0954063500446377,retrospective
test,manufacturing,macro,137,137,137,139,820,0.188660218454682,0.40780597907861976,0.12299668450720172,retrospective
test,manufacturing,micro,137,137,137,139,820,0.236662025805761,0.40780597907861976,0.1229966845072017,retrospective
test,prevalence,dram_electrical,137,137,137,18,119,0.13138686131386862,0.399726310285201,0.11606893713795535,retrospective
test,prevalence,tsv_open_short,137,137,137,18,119,0.13138686131386862,0.39007034212593605,0.1143493824929025,retrospective
test,prevalence,microbump_open_bridge,137,137,137,24,113,0.17518248175182483,0.46775256547346544,0.14546898557847707,retrospective
test,prevalence,die_crack,137,137,137,6,131,0.043795620437956206,0.18114679524473432,0.042006036047122636,retrospective
test,prevalence,warpage,137,137,137,35,102,0.25547445255474455,0.5700133781973437,0.19089904995602983,retrospective
test,prevalence,underfill_void,137,137,137,24,113,0.17518248175182483,0.4759770042917015,0.14855317021714853,retrospective
test,prevalence,delamination,137,137,137,14,123,0.10218978102189781,0.3298883330575708,0.09175081263006579,retrospective
test,prevalence,macro,137,137,137,139,820,0.14494264859228365,0.4020821040965647,0.1212994820085288,retrospective
test,prevalence,micro,137,137,137,139,820,0.20436080749581775,0.4020821040965647,0.12129948200852882,retrospective
train,full,dram_electrical,653,653,653,57,596,0.9991228070175442,0.041094954437308706,0.006886464913104999,in_sample
train,full,tsv_open_short,653,653,653,76,577,0.7419577997130818,0.15888175545046263,0.051768119107034334,in_sample
train,full,microbump_open_bridge,653,653,653,94,559,0.8020138315568762,0.1631472625803584,0.05337326194747655,in_sample
train,full,die_crack,653,653,653,36,617,0.3495756440914782,0.1657893694477846,0.04518271296799574,in_sample
train,full,warpage,653,653,653,184,469,0.637283062584819,0.41560532698916314,0.14205649430633144,in_sample
