split,variant,mechanism,metric,low,high,valid_bootstrap_samples,lot_count
test,prevalence,delamination,average_precision,0.04663636363636364,0.16025763358778625,1000,36
test,prevalence,macro,average_precision,0.14285714285714285,0.14803312629399584,999,36
test,prevalence,dram_electrical,binary_log_loss,0.2635836666004921,0.5493557509978869,1000,36
test,prevalence,tsv_open_short,binary_log_loss,0.2853127592394423,0.49230012208138035,1000,36
test,prevalence,microbump_open_bridge,binary_log_loss,0.3504215356040015,0.5763843325198659,1000,36
test,prevalence,die_crack,binary_log_loss,0.10041284141822107,0.28485033288835604,1000,36
test,prevalence,warpage,binary_log_loss,0.4933552393052417,0.6467067421981813,1000,36
test,prevalence,underfill_void,binary_log_loss,0.41780518858268945,0.5497144863515896,1000,36
test,prevalence,delamination,binary_log_loss,0.21033159339681085,0.4548563990849018,1000,36
test,prevalence,macro,binary_log_loss,0.3876446389077462,0.41655085125544755,1000,36
test,prevalence,dram_electrical,brier_score,0.06819252151160839,0.16868816869988063,1000,36
test,prevalence,tsv_open_short,brier_score,0.07470031954789712,0.15304171261948887,1000,36
test,prevalence,microbump_open_bridge,brier_score,0.09860527132670792,0.1888580881474318,1000,36
test,prevalence,die_crack,brier_score,0.016725025711346656,0.0744797361790237,1000,36
test,prevalence,warpage,brier_score,0.15514142768929667,0.22667310317387504,1000,36
test,prevalence,underfill_void,brier_score,0.12233695100328436,0.181784348759525,1000,36
test,prevalence,delamination,brier_score,0.04776747911043154,0.13772490110872482,1000,36
test,prevalence,macro,brier_score,0.11704352064521063,0.12556649401439451,1000,36
test,inspection,dram_electrical,average_precision,1.0,1.0,1000,36
test,inspection,tsv_open_short,average_precision,0.41403330881951145,0.8076152349907292,1000,36
test,inspection,microbump_open_bridge,average_precision,0.5322353467656451,0.8666012986630591,1000,36
test,inspection,die_crack,average_precision,0.05826023391812866,0.24892195238019038,999,36
test,inspection,warpage,average_precision,0.4257426465440487,0.7821185094829481,1000,36
test,inspection,underfill_void,average_precision,0.2191273704539661,0.46500790533958386,1000,36
test,inspection,delamination,average_precision,0.09626072834070319,0.34926458999109444,1000,36
test,inspection,macro,average_precision,0.46570752984695174,0.5717514867631281,999,36
test,inspection,dram_electrical,binary_log_loss,0.009236043722413228,0.022169845258190213,1000,36
test,inspection,tsv_open_short,binary_log_loss,0.14063618733118244,0.2587435441511579,1000,36
test,inspection,microbump_open_bridge,binary_log_loss,0.14534556916908684,0.26271017732932356,1000,36
test,inspection,die_crack,binary_log_loss,0.076510685932856,0.24030272217969892,1000,36
test,inspection,warpage,binary_log_loss,0.31691060000295057,0.47235004253838164,1000,36
test,inspection,underfill_void,binary_log_loss,0.31878704881005027,0.4584121733567441,1000,36
test,inspection,delamination,binary_log_loss,0.17876376405128244,0.3971527261946572,1000,36
test,inspection,macro,binary_log_loss,0.20566858530893317,0.2599077271707306,1000,36
