split,variant,mechanism,bin_lower,bin_upper,n,positives,mean_probability,observed_fraction
validation,manufacturing,warpage,0.8,1.0,0,0,,
validation,manufacturing,underfill_void,0.0,0.2,42,8,0.15244618218107608,0.19047619047619047
validation,manufacturing,underfill_void,0.2,0.4,72,14,0.27819286781501534,0.19444444444444445
validation,manufacturing,underfill_void,0.4,0.6000000000000001,9,2,0.44918659225609964,0.2222222222222222
validation,manufacturing,underfill_void,0.6000000000000001,0.8,1,0,0.6053660190239551,0.0
validation,manufacturing,underfill_void,0.8,1.0,2,2,0.8673206823286861,1.0
validation,manufacturing,delamination,0.0,0.2,114,14,0.09396916800240901,0.12280701754385964
validation,manufacturing,delamination,0.2,0.4,12,0,0.2550058488301686,0.0
validation,manufacturing,delamination,0.4,0.6000000000000001,0,0,,
validation,manufacturing,delamination,0.6000000000000001,0.8,0,0,,
validation,manufacturing,delamination,0.8,1.0,0,0,,
validation,prevalence,dram_electrical,0.0,0.2,126,22,0.08728943338437979,0.1746031746031746
validation,prevalence,dram_electrical,0.2,0.4,0,0,,
validation,prevalence,dram_electrical,0.4,0.6000000000000001,0,0,,
validation,prevalence,dram_electrical,0.6000000000000001,0.8,0,0,,
validation,prevalence,dram_electrical,0.8,1.0,0,0,,
validation,prevalence,tsv_open_short,0.0,0.2,126,14,0.11638591117917299,0.1111111111111111
validation,prevalence,tsv_open_short,0.2,0.4,0,0,,
validation,prevalence,tsv_open_short,0.4,0.6000000000000001,0,0,,
validation,prevalence,tsv_open_short,0.6000000000000001,0.8,0,0,,
validation,prevalence,tsv_open_short,0.8,1.0,0,0,,
validation,prevalence,microbump_open_bridge,0.0,0.2,126,19,0.14395099540581938,0.15079365079365079
validation,prevalence,microbump_open_bridge,0.2,0.4,0,0,,
validation,prevalence,microbump_open_bridge,0.4,0.6000000000000001,0,0,,
validation,prevalence,microbump_open_bridge,0.6000000000000001,0.8,0,0,,
validation,prevalence,microbump_open_bridge,0.8,1.0,0,0,,
validation,prevalence,die_crack,0.0,0.2,126,5,0.055130168453292494,0.03968253968253968
validation,prevalence,die_crack,0.2,0.4,0,0,,
validation,prevalence,die_crack,0.4,0.6000000000000001,0,0,,
validation,prevalence,die_crack,0.6000000000000001,0.8,0,0,,
validation,prevalence,die_crack,0.8,1.0,0,0,,
validation,prevalence,warpage,0.0,0.2,0,0,,
validation,prevalence,warpage,0.2,0.4,126,28,0.28177641653905067,0.2222222222222222
validation,prevalence,warpage,0.4,0.6000000000000001,0,0,,
validation,prevalence,warpage,0.6000000000000001,0.8,0,0,,
validation,prevalence,warpage,0.8,1.0,0,0,,
validation,prevalence,underfill_void,0.0,0.2,0,0,,
validation,prevalence,underfill_void,0.2,0.4,126,26,0.23889739663093418,0.20634920634920634
validation,prevalence,underfill_void,0.4,0.6000000000000001,0,0,,
validation,prevalence,underfill_void,0.6000000000000001,0.8,0,0,,
validation,prevalence,underfill_void,0.8,1.0,0,0,,
validation,prevalence,delamination,0.0,0.2,126,14,0.10413476263399696,0.1111111111111111
validation,prevalence,delamination,0.2,0.4,0,0,,
validation,prevalence,delamination,0.4,0.6000000000000001,0,0,,
validation,prevalence,delamination,0.6000000000000001,0.8,0,0,,
validation,prevalence,delamination,0.8,1.0,0,0,,
