split,variant,mechanism,bin_lower,bin_upper,n,positives,mean_probability,observed_fraction
test,manufacturing,dram_electrical,0.8,1.0,0,0,,
test,manufacturing,tsv_open_short,0.0,0.2,114,14,0.09615260844753463,0.12280701754385964
test,manufacturing,tsv_open_short,0.2,0.4,22,4,0.2404746250638971,0.18181818181818182
test,manufacturing,tsv_open_short,0.4,0.6000000000000001,1,0,0.4209550847766502,0.0
test,manufacturing,tsv_open_short,0.6000000000000001,0.8,0,0,,
test,manufacturing,tsv_open_short,0.8,1.0,0,0,,
test,manufacturing,microbump_open_bridge,0.0,0.2,125,21,0.10968710574954763,0.168
test,manufacturing,microbump_open_bridge,0.2,0.4,12,3,0.2266538330861938,0.25
test,manufacturing,microbump_open_bridge,0.4,0.6000000000000001,0,0,,
test,manufacturing,microbump_open_bridge,0.6000000000000001,0.8,0,0,,
test,manufacturing,microbump_open_bridge,0.8,1.0,0,0,,
test,manufacturing,die_crack,0.0,0.2,136,6,0.045306924320504496,0.04411764705882353
test,manufacturing,die_crack,0.2,0.4,1,0,0.23499645989832801,0.0
test,manufacturing,die_crack,0.4,0.6000000000000001,0,0,,
test,manufacturing,die_crack,0.6000000000000001,0.8,0,0,,
test,manufacturing,die_crack,0.8,1.0,0,0,,
test,manufacturing,warpage,0.0,0.2,26,3,0.1458883475148816,0.11538461538461539
test,manufacturing,warpage,0.2,0.4,80,21,0.29642279137641464,0.2625
test,manufacturing,warpage,0.4,0.6000000000000001,24,8,0.4620670419014104,0.3333333333333333
test,manufacturing,warpage,0.6000000000000001,0.8,6,2,0.637917545975981,0.3333333333333333
test,manufacturing,warpage,0.8,1.0,1,1,0.8183896603296996,1.0
test,manufacturing,underfill_void,0.0,0.2,66,12,0.14802247185744016,0.18181818181818182
test,manufacturing,underfill_void,0.2,0.4,64,12,0.27255743991133585,0.1875
test,manufacturing,underfill_void,0.4,0.6000000000000001,7,0,0.4271301390446122,0.0
test,manufacturing,underfill_void,0.6000000000000001,0.8,0,0,,
test,manufacturing,underfill_void,0.8,1.0,0,0,,
test,manufacturing,delamination,0.0,0.2,126,12,0.09843405144913434,0.09523809523809523
test,manufacturing,delamination,0.2,0.4,10,2,0.2472091723009567,0.2
test,manufacturing,delamination,0.4,0.6000000000000001,1,0,0.45688056203736854,0.0
test,manufacturing,delamination,0.6000000000000001,0.8,0,0,,
test,manufacturing,delamination,0.8,1.0,0,0,,
test,prevalence,dram_electrical,0.0,0.2,137,18,0.08728943338437979,0.13138686131386862
test,prevalence,dram_electrical,0.2,0.4,0,0,,
test,prevalence,dram_electrical,0.4,0.6000000000000001,0,0,,
test,prevalence,dram_electrical,0.6000000000000001,0.8,0,0,,
test,prevalence,dram_electrical,0.8,1.0,0,0,,
test,prevalence,tsv_open_short,0.0,0.2,137,18,0.11638591117917305,0.13138686131386862
test,prevalence,tsv_open_short,0.2,0.4,0,0,,
test,prevalence,tsv_open_short,0.4,0.6000000000000001,0,0,,
test,prevalence,tsv_open_short,0.6000000000000001,0.8,0,0,,
test,prevalence,tsv_open_short,0.8,1.0,0,0,,
test,prevalence,microbump_open_bridge,0.0,0.2,137,24,0.14395099540581932,0.17518248175182483
test,prevalence,microbump_open_bridge,0.2,0.4,0,0,,
test,prevalence,microbump_open_bridge,0.4,0.6000000000000001,0,0,,
test,prevalence,microbump_open_bridge,0.6000000000000001,0.8,0,0,,
test,prevalence,microbump_open_bridge,0.8,1.0,0,0,,
test,prevalence,die_crack,0.0,0.2,137,6,0.055130168453292494,0.043795620437956206
test,prevalence,die_crack,0.2,0.4,0,0,,
test,prevalence,die_crack,0.4,0.6000000000000001,0,0,,
test,prevalence,die_crack,0.6000000000000001,0.8,0,0,,
test,prevalence,die_crack,0.8,1.0,0,0,,
test,prevalence,warpage,0.0,0.2,0,0,,
test,prevalence,warpage,0.2,0.4,137,35,0.28177641653905056,0.25547445255474455
test,prevalence,warpage,0.4,0.6000000000000001,0,0,,
test,prevalence,warpage,0.6000000000000001,0.8,0,0,,
test,prevalence,warpage,0.8,1.0,0,0,,
test,prevalence,underfill_void,0.0,0.2,0,0,,
test,prevalence,underfill_void,0.2,0.4,137,24,0.2388973966309342,0.17518248175182483
test,prevalence,underfill_void,0.4,0.6000000000000001,0,0,,
test,prevalence,underfill_void,0.6000000000000001,0.8,0,0,,
test,prevalence,underfill_void,0.8,1.0,0,0,,
test,prevalence,delamination,0.0,0.2,137,14,0.10413476263399693,0.10218978102189781
test,prevalence,delamination,0.2,0.4,0,0,,
test,prevalence,delamination,0.4,0.6000000000000001,0,0,,
test,prevalence,delamination,0.6000000000000001,0.8,0,0,,
test,prevalence,delamination,0.8,1.0,0,0,,
train,full,dram_electrical,0.0,0.2,596,1,0.01952853325491195,0.0016778523489932886
train,full,dram_electrical,0.2,0.4,2,1,0.26445141507189285,0.5
train,full,dram_electrical,0.4,0.6000000000000001,4,4,0.5561434649287483,1.0
train,full,dram_electrical,0.6000000000000001,0.8,15,15,0.7084700237201335,1.0
train,full,dram_electrical,0.8,1.0,36,36,0.8883454867652671,1.0
train,full,tsv_open_short,0.0,0.2,497,1,0.013781047948508254,0.002012072434607646
train,full,tsv_open_short,0.2,0.4,65,16,0.3087648662289113,0.24615384615384617
train,full,tsv_open_short,0.4,0.6000000000000001,65,38,0.4822309462029731,0.5846153846153846
train,full,tsv_open_short,0.6000000000000001,0.8,26,21,0.6821551539132142,0.8076923076923077
train,full,tsv_open_short,0.8,1.0,0,0,,
train,full,microbump_open_bridge,0.0,0.2,485,1,0.01161482609532445,0.002061855670103093
train,full,microbump_open_bridge,0.2,0.4,37,12,0.3118253256479273,0.32432432432432434
train,full,microbump_open_bridge,0.4,0.6000000000000001,72,32,0.4868342307784638,0.4444444444444444
train,full,microbump_open_bridge,0.6000000000000001,0.8,54,44,0.6938569303825227,0.8148148148148148
train,full,microbump_open_bridge,0.8,1.0,5,5,0.8617886892975403,1.0
train,full,die_crack,0.0,0.2,639,29,0.05047053587898867,0.04538341158059468
train,full,die_crack,0.2,0.4,13,6,0.25508771325789803,0.46153846153846156
train,full,die_crack,0.4,0.6000000000000001,1,1,0.4332090039990265,1.0
train,full,die_crack,0.6000000000000001,0.8,0,0,,
train,full,die_crack,0.8,1.0,0,0,,
train,full,warpage,0.0,0.2,254,5,0.03889985286199478,0.01968503937007874
train,full,warpage,0.2,0.4,168,50,0.30589634400153365,0.2976190476190476
train,full,warpage,0.4,0.6000000000000001,180,93,0.4851904237889241,0.5166666666666667
train,full,warpage,0.6000000000000001,0.8,45,30,0.6753631150757421,0.6666666666666666
train,full,warpage,0.8,1.0,6,6,0.8338741314235731,1.0
train,full,underfill_void,0.0,0.2,284,12,0.049717004040112804,0.04225352112676056
train,full,underfill_void,0.2,0.4,225,58,0.3001224504561881,0.2577777777777778
train,full,underfill_void,0.4,0.6000000000000001,122,68,0.4824106053544285,0.5573770491803278
train,full,underfill_void,0.6000000000000001,0.8,21,17,0.6913497945879425,0.8095238095238095
train,full,underfill_void,0.8,1.0,1,1,0.9803404860199862,1.0
train,full,delamination,0.0,0.2,557,38,0.07603268959611233,0.06822262118491922
train,full,delamination,0.2,0.4,91,27,0.2582429884207557,0.2967032967032967
train,full,delamination,0.4,0.6000000000000001,5,3,0.4299327953188481,0.6
train,full,delamination,0.6000000000000001,0.8,0,0,,
train,full,delamination,0.8,1.0,0,0,,
train,inspection,dram_electrical,0.0,0.2,596,0,0.005195422703503187,0.0
train,inspection,dram_electrical,0.2,0.4,1,1,0.28129541642484823,1.0
train,inspection,dram_electrical,0.4,0.6000000000000001,0,0,,
train,inspection,dram_electrical,0.6000000000000001,0.8,2,2,0.7453095360979971,1.0
train,inspection,dram_electrical,0.8,1.0,54,54,0.9654002640550051,1.0
train,inspection,tsv_open_short,0.0,0.2,488,0,0.003610779659507729,0.0
train,inspection,tsv_open_short,0.2,0.4,65,21,0.3392224752888096,0.3230769230769231
train,inspection,tsv_open_short,0.4,0.6000000000000001,83,45,0.49050979080564083,0.5421686746987951
train,inspection,tsv_open_short,0.6000000000000001,0.8,16,9,0.6627978043844551,0.5625
train,inspection,tsv_open_short,0.8,1.0,1,1,0.8714010313870595,1.0
train,inspection,microbump_open_bridge,0.0,0.2,483,0,0.001986306600812881,0.0
train,inspection,microbump_open_bridge,0.2,0.4,20,8,0.338012630378698,0.4
train,inspection,microbump_open_bridge,0.4,0.6000000000000001,84,36,0.5086576050401426,0.42857142857142855
train,inspection,microbump_open_bridge,0.6000000000000001,0.8,64,48,0.6549819918279416,0.75
train,inspection,microbump_open_bridge,0.8,1.0,2,2,0.8171453056596103,1.0
train,inspection,die_crack,0.0,0.2,644,33,0.05235806864888363,0.05124223602484472
train,inspection,die_crack,0.2,0.4,9,3,0.2534938847842075,0.3333333333333333
train,inspection,die_crack,0.4,0.6000000000000001,0,0,,
train,inspection,die_crack,0.6000000000000001,0.8,0,0,,
train,inspection,die_crack,0.8,1.0,0,0,,
train,inspection,warpage,0.0,0.2,245,4,0.0224689547744338,0.0163265306122449
train,inspection,warpage,0.2,0.4,175,58,0.3086677981780463,0.3314285714285714
train,inspection,warpage,0.4,0.6000000000000001,182,84,0.49266530391452096,0.46153846153846156
train,inspection,warpage,0.6000000000000001,0.8,49,37,0.6759127016633698,0.7551020408163265
train,inspection,warpage,0.8,1.0,2,1,0.8467347182502869,0.5
train,inspection,underfill_void,0.0,0.2,255,8,0.028902266952043062,0.03137254901960784
train,inspection,underfill_void,0.2,0.4,248,71,0.29707110562796984,0.2862903225806452
train,inspection,underfill_void,0.4,0.6000000000000001,128,59,0.47047859926937935,0.4609375
train,inspection,underfill_void,0.6000000000000001,0.8,20,16,0.6459941680923672,0.8
train,inspection,underfill_void,0.8,1.0,2,2,0.9075773508767255,1.0
train,inspection,delamination,0.0,0.2,603,59,0.09446836843204837,0.0978441127694859
train,inspection,delamination,0.2,0.4,50,9,0.22071165208893992,0.18
train,inspection,delamination,0.4,0.6000000000000001,0,0,,
train,inspection,delamination,0.6000000000000001,0.8,0,0,,
train,inspection,delamination,0.8,1.0,0,0,,
train,manufacturing,dram_electrical,0.0,0.2,636,53,0.08361710107295212,0.08333333333333333
train,manufacturing,dram_electrical,0.2,0.4,17,4,0.2246784487717537,0.23529411764705882
train,manufacturing,dram_electrical,0.4,0.6000000000000001,0,0,,
train,manufacturing,dram_electrical,0.6000000000000001,0.8,0,0,,
train,manufacturing,dram_electrical,0.8,1.0,0,0,,
train,manufacturing,tsv_open_short,0.0,0.2,569,51,0.09466688080938007,0.08963093145869948
train,manufacturing,tsv_open_short,0.2,0.4,80,24,0.2542015659232395,0.3
train,manufacturing,tsv_open_short,0.4,0.6000000000000001,4,1,0.44960215656858693,0.25
train,manufacturing,tsv_open_short,0.6000000000000001,0.8,0,0,,
train,manufacturing,tsv_open_short,0.8,1.0,0,0,,
train,manufacturing,microbump_open_bridge,0.0,0.2,537,68,0.12309788556885924,0.1266294227188082
train,manufacturing,microbump_open_bridge,0.2,0.4,116,26,0.24048618262140112,0.22413793103448276
train,manufacturing,microbump_open_bridge,0.4,0.6000000000000001,0,0,,
train,manufacturing,microbump_open_bridge,0.6000000000000001,0.8,0,0,,
train,manufacturing,microbump_open_bridge,0.8,1.0,0,0,,
train,manufacturing,die_crack,0.0,0.2,647,32,0.05346123146061843,0.04945904173106646
train,manufacturing,die_crack,0.2,0.4,6,4,0.235095980910665,0.6666666666666666
train,manufacturing,die_crack,0.4,0.6000000000000001,0,0,,
train,manufacturing,die_crack,0.6000000000000001,0.8,0,0,,
train,manufacturing,die_crack,0.8,1.0,0,0,,
train,manufacturing,warpage,0.0,0.2,192,23,0.1447300407409534,0.11979166666666667
train,manufacturing,warpage,0.2,0.4,350,101,0.28681875466289347,0.2885714285714286
train,manufacturing,warpage,0.4,0.6000000000000001,91,46,0.4689217365876421,0.5054945054945055
train,manufacturing,warpage,0.6000000000000001,0.8,20,14,0.6576701732467028,0.7
train,manufacturing,warpage,0.8,1.0,0,0,,
train,manufacturing,underfill_void,0.0,0.2,259,31,0.14983598427301065,0.11969111969111969
train,manufacturing,underfill_void,0.2,0.4,358,103,0.2765878750834602,0.2877094972067039
train,manufacturing,underfill_void,0.4,0.6000000000000001,32,18,0.47693757079431753,0.5625
train,manufacturing,underfill_void,0.6000000000000001,0.8,3,3,0.6443214325722922,1.0
train,manufacturing,underfill_void,0.8,1.0,1,1,0.9790523577648308,1.0
train,manufacturing,delamination,0.0,0.2,610,53,0.09403449701612845,0.08688524590163935
train,manufacturing,delamination,0.2,0.4,43,15,0.24741706250219644,0.3488372093023256
train,manufacturing,delamination,0.4,0.6000000000000001,0,0,,
train,manufacturing,delamination,0.6000000000000001,0.8,0,0,,
train,manufacturing,delamination,0.8,1.0,0,0,,
train,prevalence,dram_electrical,0.0,0.2,653,57,0.08728943338437979,0.08728943338437979
train,prevalence,dram_electrical,0.2,0.4,0,0,,
train,prevalence,dram_electrical,0.4,0.6000000000000001,0,0,,
train,prevalence,dram_electrical,0.6000000000000001,0.8,0,0,,
train,prevalence,dram_electrical,0.8,1.0,0,0,,
train,prevalence,tsv_open_short,0.0,0.2,653,76,0.11638591117917305,0.11638591117917305
train,prevalence,tsv_open_short,0.2,0.4,0,0,,
train,prevalence,tsv_open_short,0.4,0.6000000000000001,0,0,,
train,prevalence,tsv_open_short,0.6000000000000001,0.8,0,0,,
train,prevalence,tsv_open_short,0.8,1.0,0,0,,
train,prevalence,microbump_open_bridge,0.0,0.2,653,94,0.14395099540581935,0.1439509954058193
train,prevalence,microbump_open_bridge,0.2,0.4,0,0,,
